filename	refID	dokID	shortTitle	title
nl-20160617-030.xml	lov/2016-06-17-30	NL/lov/2016-06-17-30	Lov om EØS-finanstilsyn	Lov om EØS-finanstilsyn
nl-20160617-044.xml	lov/2016-06-17-44	NL/lov/2016-06-17-44	Lov om omdanning av AIM Norway SF til aksjeselskap	Lov om omdanning av Aerospace Industrial Maintenance Norway SF til aksjeselskap
nl-20160617-045.xml	lov/2016-06-17-45	NL/lov/2016-06-17-45	Endringslov til pasient- og brukerrettighetsloven mv	Lov om endringer i pasient- og brukerrettighetsloven og helse- og omsorgstjenesteloven (rett til opphold i sykehjem eller tilsvarende bolig særskilt tilrettelagt for heldøgns tjenester – kriterier og ventelister)
nl-20160617-046.xml	lov/2016-06-17-46	NL/lov/2016-06-17-46	Lov om endring av juridisk kjønn	Lov om endring av juridisk kjønn
nl-20160617-064.xml	lov/2016-06-17-64	NL/lov/2016-06-17-64	Lov om åpenhet om eierskap i medier	Lov om åpenhet om eierskap i medier
nl-20160617-073.xml	lov/2016-06-17-73	NL/lov/2016-06-17-73	Anskaffelsesloven	Lov om offentlige anskaffelser (anskaffelsesloven)
nl-20160812-077.xml	lov/2016-08-12-77	NL/lov/2016-08-12-77	Forsvarsloven	Lov om verneplikt og tjeneste i Forsvaret m.m. (forsvarsloven)
nl-20160909-080.xml	lov/2016-09-09-80	NL/lov/2016-09-09-80	Lov om reservasjonssystemer for flyreiser mv.	Lov om reservasjonssystemer for flyreiser mv.
nl-20161209-088.xml	lov/2016-12-09-88	NL/lov/2016-12-09-88	Folkeregisterloven	Lov om folkeregistrering (folkeregisterloven)
nl-20161216-092.xml	lov/2016-12-16-92	NL/lov/2016-12-16-92	Forsvarsundersøkelsesloven	Lov om undersøkelser av ulykker og hendelser i Forsvaret (forsvarsundersøkelsesloven)
nl-20170210-005.xml	lov/2017-02-10-5	NL/lov/2017-02-10-5	Endringslov til tobakksskadeloven	Lov om endringer i tobakksskadeloven (gjennomføring av direktiv 2014/40/EU og standardiserte tobakkspakninger)
nl-20170324-010.xml	lov/2017-03-24-10	NL/lov/2017-03-24-10	Lov om informasjonstilgang mv. for Statens helsetilsyn	Lov om informasjonstilgang mv. for Statens helsetilsyn ved gjennomgang av et utvalg barnevernssaker
nl-20170428-023.xml	lov/2017-04-28-23	NL/lov/2017-04-28-23	Forskningsetikkloven	Lov om organisering av forskningsetisk arbeid (forskningsetikkloven)
nl-20170522-028.xml	lov/2017-05-22-28	NL/lov/2017-05-22-28	Lov om tilskudd til sysselsetting av arbeidstakere til sjøs	Lov om tilskudd til sysselsetting av arbeidstakere til sjøs
nl-20170522-029.xml	lov/2017-05-22-29	NL/lov/2017-05-22-29	Taubaneloven	Lov om taubaner (taubaneloven)
